Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Bristol City,6,3,1,2,12,2.00,32,47,1.47,14,7,11,40.6,71.9,37.50,40.63
Derby,6,3,1,2,7,1.17,33,43,1.30,11,11,11,48.5,78.8,18.18,75.76
Leicester,6,2,1,3,8,1.33,32,47,1.47,12,9,11,65.6,90.6,12.50,78.13
Charlton,6,1,2,3,6,1.00,32,35,1.09,10,8,14,50.0,71.9,25.00,56.25
Sheffield Wednesday,6,0,0,6,0,0.00,32,22,0.69,1,10,21,53.1,81.3,9.38,43.75
Wrexham,6,3,2,1,12,2.00,37,59,1.59,14,13,10,51.4,83.8,24.32,67.57
Stoke,6,3,2,1,6,1.00,33,35,1.06,13,7,13,39.4,54.5,39.39,33.33
Southampton,6,2,2,2,6,1.00,35,53,1.51,13,11,11,65.7,85.7,20.00,74.29
Middlesbrough,6,4,0,2,14,2.33,32,49,1.53,16,8,8,59.4,75.0,25.00,56.25
Norwich,6,5,0,1,16,2.67,35,48,1.37,12,7,16,54.3,82.9,8.57,68.57
Blackburn,6,0,3,3,4,0.67,31,29,0.94,8,9,14,45.2,77.4,25.81,51.61
Hull,6,4,1,1,8,1.33,32,52,1.63,17,7,8,62.5,75.0,31.25,59.38
Millwall,6,3,1,2,10,1.67,37,52,1.41,19,8,10,51.4,75.7,35.14,48.65
Sheffield United,6,3,0,3,11,1.83,31,49,1.58,12,2,17,61.3,67.7,22.58,48.39
Watford,6,2,2,2,7,1.17,32,44,1.38,12,11,9,50.0,81.3,15.63,68.75
Swansea,6,2,2,2,9,1.50,36,45,1.25,13,8,15,52.8,72.2,19.44,63.89
Ipswich,6,5,0,1,12,2.00,32,58,1.81,17,9,6,56.3,84.4,31.25,62.50
Preston,6,2,0,4,5,0.83,35,42,1.20,13,10,12,45.7,71.4,28.57,54.29
Oxford,6,1,3,2,4,0.67,32,29,0.91,7,11,14,46.9,62.5,18.75,53.13
Birmingham,6,3,2,1,10,1.67,35,49,1.40,14,9,12,51.4,82.9,20.00,57.14
Portsmouth,6,2,2,2,6,1.00,33,30,0.91,10,10,13,39.4,63.6,30.30,48.48
West Bromwich Albion,6,0,2,4,6,1.00,31,35,1.13,9,7,15,51.6,71.0,16.13,61.29
Queens Park Rangers,6,1,2,3,7,1.17,34,45,1.32,12,7,15,64.7,73.5,23.53,67.65
Coventry,6,2,1,3,8,1.33,32,64,2.00,18,7,7,59.4,78.1,31.25,59.38
