Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
RKC Waalwijk,6,3,2,1,19,3.17,30,56,1.87,12,7,11,66.7,86.7,16.67,73.33
FC Oss,6,2,1,3,11,1.83,28,38,1.36,7,11,10,50.0,82.1,25.00,60.71
Vitesse,6,2,3,1,6,1.00,27,43,1.59,11,8,8,70.4,92.6,14.81,70.37
FC Dordrecht,6,1,1,4,9,1.50,25,31,1.24,7,7,11,56.0,84.0,20.00,60.00
Almere City FC,6,5,0,1,17,2.83,28,64,2.29,16,2,10,75.0,92.9,25.00,64.29
Roda,6,1,3,2,12,2.00,29,55,1.90,11,10,8,65.5,86.2,24.14,72.41
FC Den Bosch,6,2,1,3,11,1.83,30,61,2.03,14,4,12,80.0,90.0,13.33,76.67
FC Emmen,6,2,1,3,12,2.00,25,43,1.72,8,4,13,68.0,88.0,12.00,68.00
ADO Den Haag,6,2,1,3,9,1.50,30,97,3.23,21,3,6,80.0,93.3,40.00,53.33
Jong AZ Alkmaar,6,2,0,4,13,2.17,24,39,1.63,7,2,15,70.8,83.3,12.50,62.50
FC Eindhoven,6,4,0,2,14,2.33,29,44,1.52,12,4,13,58.6,72.4,24.14,48.28
MVV Maastricht,6,3,2,1,10,1.67,30,41,1.37,10,5,15,56.7,63.3,23.33,43.33
Helmond Sport,6,0,3,3,7,1.17,24,32,1.33,7,4,13,70.8,83.3,16.67,66.67
De Graafschap,6,2,1,3,11,1.83,27,55,2.04,13,5,9,66.7,92.6,3.70,81.48
