Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Espanyol,6,2,1,3,6,1.00,25,30,1.20,12,5,8,44.0,68.0,32.00,48.00
Alaves,6,2,1,3,6,1.00,25,31,1.24,10,4,11,44.0,60.0,28.00,44.00
Real Oviedo,6,0,3,3,4,0.67,23,14,0.61,2,7,14,39.1,69.6,21.74,34.78
Girona,6,4,1,1,8,1.33,25,27,1.08,7,7,11,56.0,88.0,16.00,60.00
Osasuna,6,3,2,1,12,2.00,25,40,1.60,10,5,10,48.0,72.0,24.00,48.00
Villarreal,6,2,0,4,7,1.17,34,54,1.59,15,5,14,50.0,88.2,23.53,47.06
Levante,6,2,2,2,8,1.33,24,29,1.21,6,6,12,45.8,83.3,20.83,50.00
Atletico Madrid,6,3,2,1,8,1.33,37,66,1.78,22,7,8,51.4,81.1,32.43,56.76
Elche,6,1,2,3,11,1.83,28,42,1.50,10,9,9,53.6,75.0,32.14,60.71
Barcelona,6,5,0,1,18,3.00,35,102,2.91,28,2,5,82.9,100.0,34.29,62.86
Real Madrid,6,4,0,2,16,2.67,39,88,2.26,28,4,7,66.7,84.6,38.46,53.85
Rayo Vallecano,6,2,1,3,7,1.17,34,49,1.44,15,8,11,52.9,73.5,32.35,44.12
Real Betis,6,2,1,3,7,1.17,33,62,1.88,16,10,7,51.5,90.9,33.33,60.61
Valencia,6,3,2,1,9,1.50,27,34,1.26,9,9,9,40.7,85.2,29.63,51.85
Getafe,6,0,2,4,4,0.67,24,31,1.29,8,4,12,41.7,70.8,20.83,41.67
Celta Vigo,6,4,1,1,11,1.83,31,48,1.55,13,10,8,48.4,87.1,25.81,67.74
Athletic Bilbao,6,2,1,3,11,1.83,34,36,1.06,11,5,18,50.0,70.6,23.53,47.06
Real Sociedad,6,3,3,0,11,1.83,26,38,1.46,10,7,9,57.7,84.6,11.54,73.08
Mallorca,6,1,1,4,6,1.00,24,29,1.21,7,6,11,58.3,79.2,16.67,62.50
Sevilla,6,1,1,4,4,0.67,30,41,1.37,10,7,13,60.0,83.3,16.67,63.33
