Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Last 6 Over 2.5,Last 6 Over 1.5,Last 6 CS,Last 6 BTTS,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Lens,6,5,0,1,13,2.17,4/6,5/6,4/6,2/6,22,39,1.77,16,1,5,63.6,81.8,36.36,45.45
Le Havre,6,1,3,2,3,0.50,1/6,3/6,2/6,2/6,21,16,0.76,4,9,8,33.3,52.4,33.33,42.86
Paris FC,6,3,1,2,7,1.17,4/6,4/6,3/6,2/6,21,28,1.33,7,5,9,57.1,71.4,28.57,57.14
Marseille,6,3,1,2,19,3.17,5/6,6/6,1/6,3/6,34,80,2.35,19,6,9,64.7,79.4,29.41,52.94
Lorient,6,4,2,0,16,2.67,3/6,5/6,3/6,3/6,24,41,1.71,9,8,7,45.8,83.3,20.83,54.17
Nantes,6,2,1,3,11,1.83,4/6,6/6,1/6,5/6,24,27,1.13,5,6,13,45.8,75.0,16.67,54.17
Monaco,6,2,1,3,8,1.33,5/6,5/6,1/6,5/6,31,47,1.52,12,7,12,64.5,67.7,19.35,67.74
Rennes,6,4,1,1,12,2.00,3/6,6/6,2/6,3/6,22,37,1.68,10,8,4,59.1,81.8,27.27,59.09
Lyon,6,6,0,0,16,2.67,5/6,5/6,2/6,4/6,29,52,1.79,19,3,7,55.2,65.5,51.72,41.38
Lille,6,1,0,5,4,0.67,4/6,5/6,1/6,3/6,30,51,1.70,15,2,13,50.0,70.0,30.00,43.33
Toulouse,6,4,1,1,13,2.17,4/6,6/6,2/6,3/6,25,37,1.48,9,8,8,52.0,72.0,32.00,52.00
Auxerre,6,1,0,5,7,1.17,3/6,4/6,0/6,3/6,20,15,0.75,3,3,14,40.0,60.0,15.00,40.00
Angers,6,1,3,2,8,1.33,3/6,4/6,2/6,4/6,27,26,0.96,10,8,9,22.2,51.9,44.44,33.33
Metz,6,1,1,4,9,1.50,5/6,6/6,1/6,4/6,21,24,1.14,4,3,14,66.7,85.7,19.05,52.38
Nice,6,3,2,1,12,2.00,4/6,6/6,0/6,6/6,31,37,1.19,9,4,18,61.3,83.9,6.45,67.74
Brest,6,2,1,3,6,1.00,2/6,5/6,2/6,3/6,22,29,1.32,8,5,9,59.1,81.8,22.73,54.55
Strasbourg,6,5,1,0,18,3.00,5/6,6/6,1/6,5/6,30,55,1.83,17,5,8,63.3,73.3,33.33,60.00
PSG,6,3,1,2,9,1.50,4/6,4/6,2/6,3/6,38,86,2.26,24,7,7,57.9,76.3,47.37,39.47
Rodez,6,2,3,1,10,1.67,3/6,5/6,0/6,5/6,24,35,1.46,9,8,7,54.2,79.2,12.50,70.83
Red Star,6,1,4,1,8,1.33,3/6,4/6,2/6,3/6,21,29,1.38,10,7,4,47.6,66.7,47.62,42.86
Grenoble,6,1,3,2,5,0.83,2/6,4/6,1/6,3/6,23,27,1.17,7,8,8,47.8,69.6,21.74,60.87
Amiens,6,3,1,2,9,1.50,3/6,5/6,2/6,3/6,24,35,1.46,9,4,11,58.3,70.8,29.17,50.00
SC Bastia,6,3,1,2,6,1.00,1/6,4/6,3/6,1/6,23,18,0.78,5,6,12,21.7,52.2,39.13,21.74
Nancy,6,2,2,2,5,0.83,3/6,4/6,2/6,3/6,25,28,1.12,8,5,12,52.0,64.0,24.00,40.00
Clermont Foot,6,1,2,3,8,1.33,3/6,4/6,0/6,4/6,21,22,1.05,5,8,8,42.9,61.9,19.05,61.90
Reims,6,3,2,1,8,1.33,3/6,3/6,4/6,2/6,25,51,2.04,14,6,5,56.0,68.0,44.00,52.00
Laval,6,2,1,3,5,0.83,2/6,4/6,3/6,2/6,25,26,1.04,7,7,11,32.0,68.0,32.00,32.00
Pau,6,1,2,3,8,1.33,4/6,4/6,1/6,4/6,26,36,1.38,10,8,8,53.8,80.8,34.62,50.00
Montpellier,6,3,1,2,9,1.50,2/6,4/6,3/6,2/6,24,30,1.25,12,4,8,20.8,66.7,41.67,33.33
Guingamp,6,3,0,3,8,1.33,4/6,4/6,3/6,1/6,26,43,1.65,12,7,7,69.2,76.9,26.92,53.85
Troyes,6,5,0,1,10,1.67,3/6,4/6,2/6,3/6,24,43,1.79,16,5,3,50.0,70.8,41.67,50.00
Le Mans,6,3,3,0,6,1.00,2/6,3/6,3/6,3/6,25,31,1.24,11,11,3,40.0,56.0,36.00,56.00
Dunkerque,6,4,0,2,10,1.67,4/6,4/6,1/6,4/6,23,43,1.87,10,7,6,65.2,78.3,26.09,60.87
Annecy FC,6,3,0,3,10,1.67,5/6,6/6,2/6,4/6,22,29,1.32,9,4,9,54.5,72.7,31.82,54.55
Saint-Etienne,6,1,2,3,4,0.67,2/6,2/6,2/6,2/6,23,41,1.78,11,4,8,65.2,73.9,30.43,56.52
Boulogne,6,2,2,2,8,1.33,4/6,5/6,1/6,4/6,22,23,1.05,5,6,11,50.0,63.6,13.64,54.55
