Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Last 6 Over 2.5,Last 6 Over 1.5,Last 6 CS,Last 6 BTTS,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Leeds,6,2,3,1,9,1.50,2/6,4/6,2/6,4/6,28,37,1.32,7,12,9,50.0,78.6,17.86,67.86
Arsenal,6,3,2,1,12,2.00,4/6,4/6,2/6,4/6,39,80,2.05,28,6,5,51.3,76.9,48.72,46.15
Wolverhampton Wanderers,6,2,3,1,11,1.83,2/6,5/6,2/6,3/6,27,29,1.07,4,5,18,48.1,81.5,11.11,48.15
Bournemouth,6,2,3,1,14,2.33,5/6,6/6,0/6,6/6,29,47,1.62,9,10,10,65.5,82.8,20.69,65.52
Brighton,6,2,3,1,9,1.50,3/6,6/6,1/6,5/6,30,53,1.77,12,10,8,56.7,93.3,26.67,63.33
Everton,6,2,3,1,8,1.33,1/6,5/6,2/6,4/6,31,32,1.03,10,9,12,32.3,74.2,32.26,41.94
Chelsea,6,4,0,2,14,2.33,4/6,5/6,2/6,4/6,44,92,2.09,26,8,10,68.2,88.6,38.64,61.36
West Ham,6,3,1,2,10,1.67,6/6,6/6,0/6,5/6,28,36,1.29,8,5,15,71.4,96.4,7.14,64.29
Liverpool,6,2,3,1,12,2.00,4/6,5/6,2/6,4/6,39,72,1.85,21,7,11,69.2,82.1,25.64,64.10
Newcastle United,6,2,2,2,10,1.67,3/6,5/6,2/6,2/6,40,64,1.60,16,10,14,62.5,82.5,30.00,55.00
Manchester United,6,2,3,1,10,1.67,3/6,6/6,1/6,5/6,30,53,1.77,12,12,6,63.3,86.7,13.33,76.67
Fulham,6,3,2,1,10,1.67,4/6,5/6,0/6,5/6,30,47,1.57,15,5,10,53.3,76.7,23.33,63.33
Nottingham Forest,6,2,2,2,8,1.33,3/6,4/6,2/6,3/6,36,40,1.11,10,10,16,52.8,75.0,30.56,38.89
Crystal Palace,6,0,2,4,4,0.67,3/6,5/6,1/6,4/6,38,46,1.21,14,12,12,47.4,68.4,39.47,47.37
Aston Villa,6,4,1,1,8,1.33,2/6,3/6,3/6,2/6,40,63,1.58,24,7,9,57.5,75.0,32.50,55.00
Brentford,6,3,1,2,9,1.50,2/6,5/6,3/6,1/6,29,47,1.62,13,5,11,48.3,89.7,27.59,48.28
Tottenham,6,1,2,3,9,1.50,4/6,6/6,1/6,5/6,40,60,1.50,14,13,13,60.0,80.0,40.00,47.50
Manchester City,6,3,1,2,16,2.67,2/6,6/6,2/6,3/6,40,98,2.45,27,5,8,57.5,92.5,45.00,45.00
Sunderland,6,1,3,2,5,0.83,3/6,5/6,1/6,4/6,29,31,1.07,9,12,8,37.9,75.9,27.59,48.28
Burnley,6,1,3,2,11,1.83,4/6,6/6,0/6,5/6,26,33,1.27,5,6,15,57.7,88.5,11.54,65.38
