Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Lazio,6,1,3,2,4,0.67,25,24,0.96,8,9,8,24.0,52.0,48.00,20.00
Genoa,6,2,3,1,9,1.50,25,31,1.24,7,8,10,64.0,80.0,20.00,60.00
Pisa,6,0,3,3,6,1.00,25,18,0.72,1,12,12,40.0,60.0,20.00,40.00
Sassuolo,6,1,2,3,3,0.50,25,25,1.00,8,6,11,44.0,64.0,28.00,40.00
Napoli,6,1,4,1,6,1.00,37,54,1.46,20,8,9,43.2,75.7,37.84,45.95
Fiorentina,6,2,2,2,8,1.33,33,40,1.21,8,10,15,57.6,75.8,21.21,60.61
Cagliari,6,3,1,2,7,1.17,26,31,1.19,7,9,10,50.0,80.8,15.38,61.54
Verona,6,0,2,4,5,0.83,24,19,0.79,2,10,12,54.2,70.8,20.83,54.17
Torino,6,2,0,4,7,1.17,26,27,1.04,9,5,12,57.7,65.4,38.46,42.31
Lecce,6,0,2,4,2,0.33,24,15,0.63,5,6,13,33.3,58.3,33.33,29.17
Como,6,4,1,1,17,2.83,26,49,1.88,15,7,4,50.0,76.9,46.15,42.31
Atalanta,6,4,1,1,12,2.00,31,45,1.45,14,9,8,45.2,77.4,38.71,48.39
Cremonese,6,0,2,4,2,0.33,23,20,0.87,5,9,9,34.8,60.9,30.43,43.48
Inter,6,4,1,1,13,2.17,39,81,2.08,26,5,8,56.4,84.6,41.03,51.28
Parma,6,1,3,2,3,0.50,25,19,0.76,6,9,10,36.0,64.0,32.00,40.00
Juventus,6,4,1,1,14,2.33,37,68,1.84,20,10,7,48.6,78.4,35.14,51.35
Udinese,6,2,2,2,8,1.33,27,32,1.19,12,5,10,48.1,77.8,22.22,55.56
Roma,6,4,1,1,11,1.83,36,50,1.39,23,2,11,36.1,61.1,47.22,30.56
Bologna,6,1,2,3,9,1.50,32,46,1.44,12,10,10,50.0,78.1,21.88,59.38
