Team,Form Matches,Form W,Form D,Form L,Last 6 Goals,Last 6 Goals/Game,Overall Matches,Overall Goals,Overall Goals/Game,Overall W,Overall D,Overall L,Overall Over 2.5%,Overall Over 1.5%,Overall CS%,Overall BTTS%
Bari,6,1,2,3,4,0.67,22,18,0.82,4,8,10,40.9,72.7,18.18,54.55
Palermo,6,3,3,0,6,1.00,24,31,1.29,10,9,5,37.5,62.5,45.83,37.50
Sudtirol,6,3,2,1,7,1.17,22,23,1.05,5,10,7,36.4,72.7,18.18,59.09
Catanzaro,6,3,1,2,6,1.00,22,27,1.23,8,8,6,45.5,63.6,27.27,54.55
Empoli,6,2,1,3,3,0.50,24,28,1.17,7,8,9,45.8,75.0,25.00,54.17
Modena,6,2,1,3,6,1.00,22,28,1.27,9,6,7,40.9,72.7,40.91,40.91
Entella,6,1,2,3,4,0.67,23,23,1.00,5,9,9,30.4,69.6,21.74,52.17
Frosinone,6,4,2,0,10,1.67,23,41,1.78,14,6,3,52.2,73.9,43.48,47.83
Venezia,6,6,0,0,16,2.67,25,50,2.00,14,6,5,64.0,84.0,44.00,56.00
Carrarese,6,4,1,1,10,1.67,22,30,1.36,7,8,7,54.5,77.3,36.36,50.00
Avellino,6,1,2,3,6,1.00,22,24,1.09,6,7,9,45.5,77.3,13.64,50.00
Cesena,6,2,1,3,7,1.17,22,28,1.27,10,5,7,50.0,72.7,18.18,63.64
Pescara,6,1,1,4,6,1.00,23,26,1.13,3,8,12,60.9,91.3,8.70,65.22
Mantova,6,1,2,3,7,1.17,22,20,0.91,5,4,13,50.0,59.1,18.18,50.00
Sampdoria,6,1,3,2,5,0.83,22,21,0.95,4,8,10,36.4,68.2,13.64,63.64
Spezia,6,2,0,4,5,0.83,23,22,0.96,5,7,11,39.1,73.9,21.74,56.52
Reggiana,6,0,0,6,5,0.83,23,27,1.17,5,7,11,60.9,69.6,21.74,69.57
Juve Stabia,6,4,2,0,8,1.33,22,23,1.05,8,9,5,40.9,63.6,40.91,36.36
Calcio Padova,6,2,1,3,6,1.00,22,20,0.91,6,7,9,36.4,68.2,22.73,50.00
Monza,6,3,1,2,11,1.83,23,34,1.48,12,6,5,43.5,65.2,34.78,47.83
